latitude	longitude	SiO2	TiO2	Al2O3	Fe2O3	FeO	MnO	MgO	CaO	Na2O	K2O	P2O5	H2O.PLUS	H2O.MINUS	CO2	Zr
73840484	-35.777905	148.582351	66.8	0.52	14.3	1.78	2.64	0.08	2.55	4.12	2.92	3.32	0.14	0.66	0.14	-0.05	170
73840485	-35.838174	148.592405	60.46	0.57	14.56	1.98	4.06	0.12	3.98	6.07	3	2.22	0.2	0.85	0.11	0.05	110
73840486	-35.847289	148.584836	70.43	0.32	13.53	1.3	1.6	0.06	1.5	2.63	2.9	4.21	0.08	0.79	0.13	0.05	130
73840174	-35.840936	148.588031	62.28	0.5	15.29	2.17	3.62	0.1	3.31	5.95	3	2.09	0.17	0.79	0.03	0.05	110
73840158	-35.899996	148.552644	70.35	0.34	13.74	1.25	1.98	0.05	1.55	2.96	3	3.85	0.1	0.69	0.05	0.05	130
73840170	-35.892985	148.536996	65.55	0.54	14.57	1.63	3.05	0.08	2.56	4.25	2.9	3.53	0.16	0.75	0.03	0.1	180
73840172	-35.845501	148.583693	69.59	0.38	13.73	1.18	2.13	0.06	1.69	3.03	2.8	4.06	0.09	0.59	0.03	0.05	150
72840085	-35.89207	148.538086	66.8	0.54	14.3	1.5	2.75	0.07	2.55	4.15	2.8	3.25	0.14	0.74	0.04	0.1	178
71840181	-35.842665	148.593602	66.6	0.49	14.6	2	2.3	0.07	2.5	4	3	3.3	0.15	0.38	0.2	0.1	190
71840183	-35.837155	148.601241	61	0.61	14.6	2.05	4.2	0.12	4.75	6.45	2.65	2.5	0.24	0.37	0.29	0.12	150
71840185	-35.832927	148.580122	52.4	0.8	16.9	2.1	7.5	0.18	6.75	9.3	2.7	0.72	0.27	0.05	0.21	0.15	24
71840191	-35.866985	148.595196	60.8	0.61	14.7	2.05	4.3	0.12	4.75	6.45	2.65	2.55	0.22	0.28	0.26	0.1	140
71840201	-35.893014	148.53478	65.7	0.52	14.9	2.25	2.45	0.08	2.65	3.9	2.95	3.45	0.17	0.4	0.28	0.1	190
BP39	-35.83297	148.576801	52.24	0.74	15.76	2.57	7.23	0.15	6.78	10.28	2.4	0.67	0.21	0.48	0.12	0.31	31
BP9	-35.845222	148.604726	61.19	0.71	13.6	2.54	4.29	0.1	3.94	4.7	2.64	3.16	0.2	2.05	0.17	0.26	188
BP28	-35.892971	148.538103	66.4	0.52	14.2	1.72	2.44	0.07	2.4	4.13	2.93	3.44	0.15	0.8	0.17	0.46	168
