"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB11","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","42.34","2.69","","11.35","","","13.22","","11.41","13.67","0.24","","0.75","2.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125724",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB12","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","42.1","3.03","","11.09","","","10.65","","10.93","14.88","0.12","","0.94","2.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125725",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB13","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","43.49","2.51","","10.18","","","12.8","","11.17","13.6","0.27","","0.9","2.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125726",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB14","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","42.23","2.53","","10.48","","","15.58","","10.89","11.72","0.33","","1.03","1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125727",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB15","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","42.45","2.31","","12.71","","","8.94","","11.19","15.39","0.11","","1.07","2.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125728",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB16","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","41.53","3.51","","11.83","","","11.73","","11.03","13.57","0.13","","0.96","2.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125729",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB17","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","41.41","2.56","","13.23","","","10.47","","11.27","14.41","0.11","","0.75","2.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125730",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB18","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","41.04","2.59","","12.46","","","12.75","","11.61","12.94","0.21","","0.74","2.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125731",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB19","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","43.74","1.47","","9.2","","","16.49","","11.25","11.41","0.48","","1.01","1.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125732",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s HB20","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","44.22","1.5","","8.38","","","15.66","","11.46","12.05","0.5","","0.81","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125733",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL1","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","53.88","","","29.24","","","0.3","","11.84","","","","0.29","4.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125734",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL2","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","59.11","","","25.51","","","0.33","","7.58","","","","0.91","6.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125735",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL3","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","60.51","","","24.08","","","0.32","","5.9","","","","1.11","7.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125736",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL4","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","57.88","","","25.98","","","0.39","","8.09","","","","0.78","6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125737",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL5","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","56.62","","","24.81","","","0.51","","6.88","","","","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125738",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL6","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","56.43","","","26.87","","","0.46","","8.92","","","","0.63","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125739",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL7","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","54.63","","","27.38","","","0.28","","9.86","","","","0.39","5.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125740",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL8","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","58.87","","","25.36","","","0.27","","7.08","","","","0.71","7.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125741",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL9","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","57.77","","","26.07","","","0.27","","8.14","","","","0.6","6.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125742",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL10","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","53.74","","","28.88","","","0.32","","11.59","","","","0.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125743",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL11","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","52.54","","","28.74","","","0.32","","11.43","","","","0.29","4.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125744",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL12","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","54.26","","","26.93","","","0.33","","9.35","","","","0.64","5.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125745",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL13","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","59.4","","","24.26","","","0.29","","6.6","","","","1.09","6.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125746",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL14","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","59.6","","","24.69","","","0.44","","6.87","","","","1.05","7.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125747",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL15","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","52.2","","","29.52","","","0.47","","12.28","","","","0.35","4.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125748",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL16","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","60.31","","","24.86","","","0.34","","6.63","","","","1.09","7.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125749",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL17","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","53.6","","","27.51","","","0.46","","10.59","","","","0.49","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125750",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL18","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","57.63","","","26.34","","","0.34","","8.38","","","","0.81","6.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125751",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL19","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","57.95","","","24.44","","","0.53","","7.71","","","","1.42","5.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125752",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL20","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","55.77","","","27.12","","","0.51","","9.43","","","","0.84","5.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125753",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL21","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","55.93","","","27.91","","","0.32","","9.9","","","","0.44","5.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125754",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL22","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","58.41","","","25.9","","","0.37","","7.6","","","","0.72","6.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125755",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL23","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","57.1","","","26.93","","","0.44","","8.99","","","","0.71","5.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125756",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL24","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","56.22","","","27.65","","","0.45","","9.92","","","","0.71","5.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125757",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL25","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","56.78","","","26.14","","","0.55","","8.8","","","","0.58","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125758",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL26","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","54.34","","","27.98","","","0.6","","10.93","","","","0.32","5.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125759",
"[5636]","ANDEAN ARC / CENTRAL ANDEAN VOLCANIC ZONE / BOLIVIA / TATA SABAYA / PACIFIC OCEAN","BOLIVIAN ALTIPLANO, N SLOPE OF SALAR DE COIPASA","-19.13","-19.13","-68.53","-68.53","SAE","","","s PL27","VOL","/ ANDESITE [5636] ","PORPHYRITIC","","","","","53","","","28.3","","","0.56","","12.16","","","","0.26","4.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125760",
