"CITATIONS","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK TYPE","ROCK CLASS","ROCK TEXTURE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14I","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","51.1","1.06","","18.86","","","","8.05","10.16","5.91","0.15","","0.35","3.16","0.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265","67","","","","46","","65","","","","","","14","685","","11","0.9","","","","","","","","","","","","","188","4.9","10.2","0","6.1","1.6","0.85","1.5","","1.6","0.33","0","0","0","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100519",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14J","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","50.4","0.92","","17.3","","","","8.95","10.4","8.17","0.2","","0.23","2.62","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214","219","","","","64","","81","17","","","","","3","616","7.5","14","0.2","","","","","","","","","","","","","123","3.4","7","0","4.6","1.3","0.8","1.5","","1.4","0.34","0","0.13","0","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100520",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14L","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","49.6","1.32","","18.29","","","","9.61","9.76","6.07","0.16","","0.69","3.45","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234","95","","","","45","","78","20","","","","","15.4","562","17.6","79","4.5","","","","","","","","","","","","","213","12","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100521",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14M","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","48.9","1.2","","19.04","","","","9.81","10.57","5.7","0.15","","0.41","3.38","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244","69","","","","34","","75","20","","","","","6.1","633","12","42","2.4","","","","","","","","","","","","","178","7.5","15.5","1.9","9.5","2.7","0.88","2.3","","2.1","0.37","1","0.14","0.9","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100522",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14Q","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","49.4","0.78","","18.16","","","","8.82","10.09","8.24","0.16","","0.8","2.88","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208","212","","","","95","","68","18","","","","","39.5","594","6.6","7","1","","","","","","","","","","","","","171","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100523",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14S","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","49.2","0.87","","18.19","","","","8.64","9.9","7.98","0.18","","0.57","3","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212","229","","","","78","","84","17","","","","","14.1","591","8","20","1.2","","","","","","","","","","","","","171","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100524",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14U","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","51.7","0.94","","17.66","","","","8.64","8.94","7.59","0.16","","0.37","3.4","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","204","","","","91","","72","20","","","","","6.4","592","10.6","32","1.6","","","","","","","","","","","","","247","4","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100525",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14W","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","49.4","1.31","","18.31","","","","9.66","9.79","6.11","0.16","","0.68","3.53","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","76","","","","36","","32","19","","","","","11","868","6.7","40","2.1","","","","","","","","","","","","","180","4","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100526",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14Y","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","46.1","0.12","","21.76","","","","6.18","10.57","10.75","0.11","","2.48","1.33","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","161","","","","237","","75","14","","","","","79.5","586","2.9","23","1","","","","","","","","","","","","","206","4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100527",
"[4743]","ANDEAN ARC / SOUTHERN ANDEAN VOLCANIC ZONE / CHILE / SAN PEDRO-PELLADO/TATARA / PACIFIC OCEAN","","-36","-36","-70.5","-70.5","SAE","","","s HX14X","PLU","/ GABBRO, XENOLITH [4743] ","","","","","","49.1","1.41","","18.98","","","","9.03","9.69","5.19","0.18","","0.52","4.1","0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","51","","","","21","","88","21","","","","","7.2","693","23.4","70","3.9","","","","","","","","","","","","","213","13","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100528",
