Th	Ba	Rb	La	Ce	Nd	Sm	Eu	Nb	Sr	Gd	Dy	Zr	K2O	TiO2	Y	Er	Yb
PM	0.0813	6.049	0.5353	0.6139	1.6011	1.1892	0.3865	0.1456	0.6175	18.21	0.5128	0.6378	9.714	0.0311	0.181	3.94	0.4167	0.4144
V.MORB	0.333	0.459	0.356	0.261	0.224		0.203	0.189		0.267			0.231	0.335				0.196
