Fmax	Qtz	Kfs	Ab	An	Bt	Sil	Crd	Melt
m0	0	28.00	11.11	40.80	5.30	14.79	0.00	0.00	0
QFG1	37	-34.00	-30.00	-31.86	-4.14	0.00	0.00	0.00	100
QFG2	68	-49.00	0.00	-45.14	-5.86	0.00	0.00	0.00	100
QFG3	100	0.00	0.00	-46.96	-6.10	-46.94	0.00	0.00	100
